,Month,Rainfall,forecast
1970-01-01 00:00:00.000000226,1919-11-01,280.1,
1970-01-01 00:00:00.000000227,1919-12-01,53.0,
1970-01-01 00:00:00.000000228,1920-01-01,35.2,
1970-01-01 00:00:00.000000229,1920-02-01,5.5,
1970-01-01 00:00:00.000000230,1920-03-01,24.1,
1970-01-01 00:00:00.000000231,1920-04-01,172.0,
1970-01-01 00:00:00.000000232,1920-05-01,87.7,
1970-01-01 00:00:00.000000233,1920-06-01,964.3,
1970-01-01 00:00:00.000000234,1920-07-01,940.8,
1970-01-01 00:00:00.000000235,1920-08-01,235.0,
1970-01-01 00:00:00.000000236,1920-09-01,178.0,
1970-01-01 00:00:00.000000237,1920-10-01,350.1,
1970-01-01 00:00:00.000000238,1920-11-01,302.3,
1970-01-01 00:00:00.000000239,1920-12-01,8.2,
1970-01-01 00:00:00.000000240,1921-01-01,43.0,
1970-01-01 00:00:00.000000241,1921-02-01,4.7,
1970-01-01 00:00:00.000000242,1921-03-01,15.0,
1970-01-01 00:00:00.000000243,1921-04-01,171.3,
1970-01-01 00:00:00.000000244,1921-05-01,104.1,
1970-01-01 00:00:00.000000245,1921-06-01,489.1,
1970-01-01 00:00:00.000000246,1921-07-01,639.8,
1970-01-01 00:00:00.000000247,1921-08-01,641.9,
1970-01-01 00:00:00.000000248,1921-09-01,156.7,
1970-01-01 00:00:00.000000249,1921-10-01,302.4,
1970-01-01 00:00:00.000000250,1921-11-01,136.2,
1970-01-01 00:00:00.000000251,1921-12-01,15.8,
1970-01-01 00:00:00.000000252,1922-01-01,30.5,
1970-01-01 00:00:00.000000253,1922-02-01,21.4,
1970-01-01 00:00:00.000000254,1922-03-01,16.3,
1970-01-01 00:00:00.000000255,1922-04-01,89.6,
1970-01-01 00:00:00.000000256,1922-05-01,293.6,
1970-01-01 00:00:00.000000257,1922-06-01,663.1,
1970-01-01 00:00:00.000000258,1922-07-01,1025.1,
1970-01-01 00:00:00.000000259,1922-08-01,320.6,
1970-01-01 00:00:00.000000260,1922-09-01,222.4,
1970-01-01 00:00:00.000000261,1922-10-01,266.3,
1970-01-01 00:00:00.000000262,1922-11-01,293.7,
1970-01-01 00:00:00.000000263,1922-12-01,25.1,
1970-01-01 00:00:00.000000264,1923-01-01,24.7,
1970-01-01 00:00:00.000000265,1923-02-01,0.7,
1970-01-01 00:00:00.000000266,1923-03-01,78.9,
1970-01-01 00:00:00.000000267,1923-04-01,43.5,
1970-01-01 00:00:00.000000268,1923-05-01,80.0,
1970-01-01 00:00:00.000000269,1923-06-01,722.5,
1970-01-01 00:00:00.000000270,1923-07-01,1008.7,
1970-01-01 00:00:00.000000271,1923-08-01,943.0,
1970-01-01 00:00:00.000000272,1923-09-01,254.3,
1970-01-01 00:00:00.000000273,1923-10-01,203.1,
1970-01-01 00:00:00.000000274,1923-11-01,83.9,
1970-01-01 00:00:00.000000275,1923-12-01,41.6,
1970-01-01 00:00:00.000000276,1924-01-01,19.3,
1970-01-01 00:00:00.000000277,1924-02-01,2.9,
1970-01-01 00:00:00.000000278,1924-03-01,66.6,
1970-01-01 00:00:00.000000279,1924-04-01,111.0,
1970-01-01 00:00:00.000000280,1924-05-01,185.4,
1970-01-01 00:00:00.000000281,1924-06-01,1011.7,
1970-01-01 00:00:00.000000282,1924-07-01,1526.5,
1970-01-01 00:00:00.000000283,1924-08-01,624.0,
1970-01-01 00:00:00.000000284,1924-09-01,289.1,
1970-01-01 00:00:00.000000285,1924-10-01,176.5,
1970-01-01 00:00:00.000000286,1924-11-01,162.9,
1970-01-01 00:00:00.000000287,1924-12-01,50.4,
1970-01-01 00:00:00.000000288,1925-01-01,4.1,
1970-01-01 00:00:00.000000289,1925-02-01,16.5,
1970-01-01 00:00:00.000000290,1925-03-01,76.9,
1970-01-01 00:00:00.000000291,1925-04-01,93.4,
